Red curve_x,Red curve_y
419.4232959747,601.
419.6680717468,578.
419.9128475189,603.
420.1576232910,660.
420.4023990631,667.
420.6471748352,631.
420.8919506073,608.
421.1367263794,597.
421.3815021515,618.
421.6262779236,601.
421.8710536957,598.
422.1158294678,624.
422.3606052399,625.
422.605381012,578.
422.8501567841,582.
423.0949325562,585.
423.3397083282,616.
423.5844841003,598.
423.8292598724,560.
424.0740356445,576.
424.3188114166,559.
424.5635871887,610.
424.8083629608,637.
425.0531387329,681.
425.2979145050,593.
425.5426902771,586.
425.7874660492,624.
426.0322418213,570.
426.2770175934,608.
426.5217933655,616.
426.7665691376,603.
427.0113449097,688.
427.2561206818,660.
427.5008964539,617.
427.745672226,643.
427.9904479980,602.
428.2352237701,576.
428.4799995422,590.
428.7247753143,547.
428.9695510864,582.
429.2143268585,590.
429.4591026306,615.
429.7038784027,571.
429.9486541748,576.
430.1934299469,585.
430.438205719,588.
430.6829814911,564.
430.9277572632,586.
431.1725330353,516.
431.4173088074,539.
431.6620845795,608.
431.9068603516,600.
432.1516361237,637.
432.3964118958,620.
432.6411876678,614.
432.8859634399,638.
433.1307392120,610.
433.3755149841,624.
433.6202907562,607.
433.8650665283,579.
434.1098423004,548.
434.3546180725,635.
434.5993938446,654.
434.8441696167,592.
435.0889453888,582.
435.3337211609,596.
435.578496933,636.
435.8232727051,619.
436.0680484772,585.
436.3128242493,588.
436.5576000214,603.
436.8023757935,585.
437.0471515656,578.
437.2919273376,633.
437.5367031097,627.
437.7814788818,584.
438.0262546539,569.
438.2710304260,574.
438.5158061981,590.
438.7605819702,609.
439.0053577423,604.
439.2501335144,546.
439.4949092865,535.
439.7396850586,569.
439.9844608307,576.
440.2292366028,552.
440.4740123749,593.
440.718788147,602.
440.9635639191,603.
441.2083396912,600.
441.4531154633,601.
441.6978912354,562.
441.9426670074,503.
442.1874427795,597.
442.4322185516,626.
442.6769943237,625.
442.9217700958,637.
443.1665458679,555.
443.4113216400,601.
443.6560974121,577.
443.9008731842,581.
444.1456489563,561.
444.3904247284,599.
444.6352005005,615.
444.8799762726,568.
445.1247520447,608.
445.3695278168,585.
445.6143035889,590.
445.859079361,572.
446.1038551331,590.
446.3486309052,653.
446.5934066772,650.
446.8381824493,613.
447.0829582214,617.
447.3277339935,639.
447.5725097656,588.
447.8172855377,585.
448.0620613098,599.
448.3068370819,640.
448.5516128540,659.
448.7963886261,588.
449.0411643982,553.
449.2859401703,567.
449.5307159424,584.
449.7754917145,623.
450.0202674866,632.
450.2650432587,662.
450.5098190308,631.
450.7545948029,642.
450.999370575,622.
451.2441463470,629.
451.4889221191,662.
451.7336978912,633.
451.9784736633,605.
452.2232494354,608.
452.4680252075,583.
452.7128009796,576.
452.9575767517,624.
453.2023525238,611.
453.4471282959,575.
453.691904068,597.
453.9366798401,630.
454.1814556122,627.
454.4262313843,600.
454.6710071564,621.
454.9157829285,641.
455.1605587006,680.
455.4053344727,602.
455.6501102448,608.
455.8948860168,631.
456.1396617889,640.
456.3844375610,580.
456.6292133331,555.
456.8739891052,587.
457.1187648773,592.
457.3635406494,612.
457.6083164215,605.
457.8530921936,687.
458.0978679657,719.
458.3426437378,737.
458.5874195099,910.
458.832195282,1564.
459.0769710541,2938.
459.3217468262,3634.
459.5665225983,2388.
459.8112983704,1400.
460.0560741425,997.
460.3008499146,882.
460.5456256866,731.
460.7904014587,707.
461.0351772308,683.
461.2799530029,647.
461.5247287750,649.
461.7695045471,657.
462.0142803192,646.
462.2590560913,608.
462.5038318634,603.
462.7486076355,617.
462.9933834076,663.
463.2381591797,642.
463.4829349518,553.
463.7277107239,583.
463.972486496,634.
464.2172622681,632.
464.4620380402,603.
464.7068138123,588.
464.9515895844,605.
465.1963653564,643.
465.4411411285,647.
465.6859169006,644.
465.9306926727,628.
466.1754684448,601.
466.4202442169,632.
466.6650199890,646.
466.9097957611,644.
467.1545715332,647.
467.3993473053,605.
467.6441230774,604.
467.8888988495,613.
468.1336746216,603.
468.3784503937,595.
468.6232261658,575.
468.8680019379,513.
469.11277771,573.
469.3575534821,589.
469.6023292542,567.
